"id","profileName","text","date","title","rating","images","helpful","Colour","Size name","Style name"
"R28KKK12P3M7ZH","Varun Bhagat","
  idk why the camera quality degraded so much , i have a rn7pro and it's camera is far better than rn11pro+'s - most of the images are grainy .I noticed that it sometimes lags even though the storage isn't half full(hope a future update will solve it)
","Reviewed in India on 21 March 2022","A bit laggy and a bad camera quality",4,"","34","Stealth Black","6GB RAM","128GB Storage"
"R32LN26ZA0ZSB9","ashok","
  overall good
","Reviewed in India on 23 March 2022","i like redmi superb phone",5,"",1,"Stealth Black","6GB RAM","128GB Storage"
"R35Q3BFLBS6O9S","Akash Sharma",,"Reviewed in India on 22 March 2022","Camera📷 super",5,"https://m.media-amazon.com/images/I/714pFJyCVLL.jpg
https://m.media-amazon.com/images/I/71jsYG2NgjL.jpg
https://m.media-amazon.com/images/I/71s+ug7VjyL.jpg",0,"Stealth Black","6GB RAM","128GB Storage"
"R2WZPCPJ9HSTQT","Amazon Customer","
  It is good, screen is great, it is fast and charging is quick.
","Reviewed in India on 23 March 2022","Value for money",5,"",1,"Mirage Blue","6GB RAM","128GB Storage"
"R1GA0CITU0THUL","Saroj Heda","
  I have exchange my redmi note 9 pro max against this phone but i am not satisfied with this phone camera
","Reviewed in India on 23 March 2022","Camera quality is not so good",3,"",1,"Mirage Blue","6GB RAM","128GB Storage"
"R2UAY6IVVBFB3H","Nagendra Reddy","
  Got it for 10699 after exchange which is pretty good.Great job Xiaomi.
","Reviewed in India on 22 March 2022","Great phone overall.",5,"","4","Mirage Blue","6GB RAM","128GB Storage"
"R74EJ3K02HIRD","D k.","
   Phone is very good, it doesn't heat faster than my other phone , camera ai feature is awesome.
","Reviewed in India on 22 March 2022","Camera and screen is awesome.",5,"","28","Mirage Blue","6GB RAM","128GB Storage"
"R202AOGQIB1GGA","Lakshaya kothari ","
  Really liked this phone with awesome features such as 120hz super amoled display and 5000 MaH battery with 67W charging with a 108mp triple camera and a decent performance with snapdragon 695 with 7 5G bands support.As a user review I should recommend this for a everyday use phone and this phone is not a perfonmance centric phone but performance is decent.
","Reviewed in India on 23 March 2022","Fabulous phone",5,"",0,"Mirage Blue","6GB RAM","128GB Storage"
"R2Y9U0TKWZLTUJ","Bikash kumar","
  Too much awesome ....
","Reviewed in India on 23 March 2022","Awesome #OP",5,"https://m.media-amazon.com/images/I/61Sps1ZgY5L.jpg
https://m.media-amazon.com/images/I/71DN7grhDQL.jpg",0,"Stealth Black","6GB RAM","128GB Storage"
"RMU2M8R0KWK0F","Abhishek pujar","
  Very good phone and very bright screen and asome camera and charging 1hour it will take
","Reviewed in India on 23 March 2022","Very good phone and good quality camera super processer 👌👌🥵",5,"https://m.media-amazon.com/images/I/51dEq4UOQaL.jpg
https://m.media-amazon.com/images/I/610ej4kZAjL.jpg
https://m.media-amazon.com/images/I/61EeCwUL44L.jpg
https://m.media-amazon.com/images/I/8162m1Yi4-L.jpg",0,"Mirage Blue","6GB RAM","128GB Storage"
"R1IAS1VOYNDOJ7","Sushank","
  Worst camera experience
","Reviewed in India on 25 March 2022","Camera like 1 megapixel, sample of 108 mp",1,"https://m.media-amazon.com/images/I/714mFH7dooL.jpg","3","Mirage Blue","6GB RAM","128GB Storage"
"RLOF57G27QYCE","Sahil Gautam","
  I'm describing this phone in some main points--  Fast processor- fingure touch response is fast- Battery backup is great- looks is good- camera is worst in this price range.- phone hanging problem in normal game like candy crush but pubg and cod working smoothly- fast charging is good- youtube videos highest resolution is 1080p- dual speakers are good Overall redmi is selling below 10k price phone in the high rate. Not worth to buy just for a fast charging.Thanks
","Reviewed in India on 22 March 2022","Worst phone in this price range",3,"","29","Mirage Blue","6GB RAM","128GB Storage"
"RTWR6WZAP637Z","S Sundar","
   Waste mobile, Touch not working and hanging,, don't by mi products,, Mi continues cheating his customers.. Hate it.. Not worth even single star rating,, 🥵🥵😡👹👺
","Reviewed in India on 22 March 2022","Waste mobile, Touch not working and hanging,, don't by mi products",1,"","27","Mirage Blue","6GB RAM","128GB Storage"
"R1SFGJ0ASYT3TK","Keerti Sharma",,"Reviewed in India on 23 March 2022","Excellent phone",5,"https://m.media-amazon.com/images/I/71EIVJz5s2L.jpg","3","Stealth Black","6GB RAM","128GB Storage"
"R1TDSXVG8EGDM3","rahul kumar singh","
  I bought this phone for camera resolution 108 mp.But when I click it's image is very pathetic like 2mp photo.Screen is goodBateery and charging is good
","Reviewed in India on 22 March 2022","Worst camera performance",1,"","11","Mirage Blue","6GB RAM","128GB Storage"
"R1ERFOJJDGKKUC","Kedhar","
  I could Give 6 out of 5 for This Because Best Phone for The Price
","Reviewed in India on 23 March 2022","Best Phone I have Ever Bought Value for money",5,"",1,"Phantom White","8GB RAM","128GB Storage"
"R24FOGPQQU10NJ","A.V.Suresh","
  Camera is very very bad, don't buy just looking at features, they are just marketing only. Camera is very bad comparing with even 2 prior version, Note 9 Pro Max.
","Reviewed in India on 23 March 2022","Camera is very very bad, dont buy looking at features, they are just marketing only.",2,"","17","Mirage Blue","6GB RAM","128GB Storage"
"R25N8KQ2IJM54B","sidhique","
  Overall a great phone... Loved every single bit of it
","Reviewed in India on 23 March 2022","Up to the expectation",5,"",0,,,
"R3JF8KEP5KR0GJ","Manoj A M","
  Even the Amazon customer service also not giving proper response.evene the isssue with battery also they are not giving any refunds. I trusted Amazon but they are not giving proper response. I lost trust with Amazon
","Reviewed in India on 22 March 2022","It's a waste product don't buy this product",1,"","17","Stealth Black","6GB RAM","128GB Storage"
"RFDLRQU9R3YEB","Nobody","
  Basically a 15k-18k phone sold for 21k, sound is surely good and very loud but not loud enough for a device worth 20k+. Miui is buggy as usual, they won't solve simple issues which are plaguing all of their devices(including xiaomi and poco). 67 watt charging might be a gimmick, takes 1 hr for full charge while one plus nord 2 finishes in 30 mins with 4500 mah battery and poco f3 gt takes more or less 45 mins with 5065 mah. Idc about 4k, but as you all know..no 60 fps for 1080p which is a disappointment. Device lagged during multitasking while batt was low. Camera is also pretty average, for the price. Nice display, and the blue model looks great.
","Reviewed in India on 22 March 2022","Average.",3,"https://m.media-amazon.com/images/I/61AHAVvl+zL.jpg
https://m.media-amazon.com/images/I/71ofwlmYNJL.jpg","25","Mirage Blue","6GB RAM","128GB Storage"
"RXDIBWXT00MM7","Amazon Customer","
  Dislike
","Reviewed in India on 22 March 2022","Product is not as per requirement",1,"","8","Mirage Blue","6GB RAM","128GB Storage"
"R3N6N2394CF558","Deepak kumar","
  Very Bad camera Quality. Don't Buy it. Looks like 12MP back camera & 2MP Front Camera.
","Reviewed in India on 23 March 2022","Bad Camera",1,"https://m.media-amazon.com/images/I/614qA2rHyBL.jpg","9","Mirage Blue","6GB RAM","128GB Storage"
"RTS3BUEFZS7DG","prathap varma","
  Totally disappointed version. Compared to Note 10 pro which i was using, its totally disappointed. Camera quality not upto mark. Video quality not upto mark. Youtube streaming quality is upto 1080 only where as in note 10 pro it is 2160.Hybrid slot for sim and memory card. So only one sim/memory card can be used. No depth sensor , Vlog version in camera not presented
","Reviewed in India on 23 March 2022","Disappointed",3,"",1,"Mirage Blue","6GB RAM","128GB Storage"
"RTMFG0RMQL470","ashish","
  Perfect display guys that's true spec are bit low but it's perfect for durability
","Reviewed in India on 22 March 2022","Perfect display",5,"","5","Stealth Black","6GB RAM","128GB Storage"
"R1YAMPZM5OWV6R","Shubham Bhave","
   + Camera is good. You have the 'pro' section where you can adjust all the settings if you know. Quality is good.+Refresh rate is impressive.+Speakers on both ends+Charging is good but not as fast as 15 mins with the charger. Also, the charger is too heavy to carry along.- I transferred my data from my old phone to this which made the phone quite hot. This creates a doubt om the liquid cooling system.- I experienced some lagging while loading the home screen.Overall, I'm a bit worried about the minus points here for the longer run and with this price range.
","Reviewed in India on 23 March 2022","Not so good not so bad.",3,"https://m.media-amazon.com/images/I/61EOFazg6VL.jpg",1,"Mirage Blue","8GB RAM","256GB Storage"
"R2E2S19T7N53R4","Cnprabhakr","
  Overall mobile looks cool. the only con i felt is its has hybrid sim slot. so only i giving 3 stars. will post a detailed review in 2 weeks.
","Reviewed in India on 22 March 2022","Hybrid sim slot. overall looks good mobile.",3,"","5","Mirage Blue","8GB RAM","256GB Storage"
"R2ESOQ5L4TMDYV","Amazon Customer","
  I bought this phone because I liked features from MI, it's a disgrace to see MI taking away key features.
","Reviewed in India on 22 March 2022","Now the people calling will know that the call is being recorded",2,"",1,"Stealth Black","8GB RAM","256GB Storage"
"RNZ8S6ROT0TV","Sarthak ","
  The processor 'might' be a little degrade for the high-performance users or gamers but indeed this is the best phone for the daily normal users and even more than that. The battery is really good and the camera is above avg.Also the chef's kiss to its elite design and display, which is far better than most of the flagship phones out there...
","Reviewed in India on 22 March 2022","Finest mid-range..",5,"https://m.media-amazon.com/images/I/71BRT4MxpOL.jpg
https://m.media-amazon.com/images/I/81KsgzvOXIL.jpg",1,"Stealth Black","6GB RAM","128GB Storage"
"R2G3Y1E7YSKIO","Risi","
  After unboxing, it's realy looks & feels premium in hand. Charging also fast. Back cover is also very good. Working also good as of now. Camera is also better than average. Good low light capture. Let's see, how it work in future. Good packaging. Almost on time delivery by Amazon.
","Reviewed in India on 23 March 2022","Value for money",5,"https://m.media-amazon.com/images/I/61YZZp-Y92L.jpg
https://m.media-amazon.com/images/I/71ENbPvKlhL.jpg
https://m.media-amazon.com/images/I/71GR9I01M9L.jpg
https://m.media-amazon.com/images/I/71IRrxjSPHL.jpg",0,"Phantom White","8GB RAM","128GB Storage"
"R1KHV144IGDCY5","MJ","
  Camera quality for this phone not good. Redmi 10 pro max has better camera quality than this. You can better better camera phone under 25k segment .I am okay with other features.
","Reviewed in India on 23 March 2022","Bad camera quality",3,"",0,"Mirage Blue","8GB RAM","256GB Storage"
"R2E0KPFJPKHE4T","Gurmeet Singh","
  I like only redmi mobile bcz these mobiles feature all tym too gud
","Reviewed in India on 23 March 2022","Excellent Mobile",5,"",0,"Mirage Blue","8GB RAM","256GB Storage"
"R18V0U7DYR7YW8","Amazon Customer","
  Very good phone for the price. super fast, quick charging and good battery life. Played PUB G for 2 hours and spent only 10% of the battery.
","Reviewed in India on 22 March 2022","Good phone",5,"",1,"Phantom White","8GB RAM","128GB Storage"
"R3G424MY9LTPAL","sachin Devra","
  Like
","Reviewed in India on 23 March 2022","Good",5,"",0,,,
"R2MYQ3TWT1OUGN","Amazon Customer","
  I am glad to post this as this is first review ever written on Amazon for this phone. I am very happy with the phone and I would advise to go for itttttt.Well done XIOMI.
","Reviewed in India on 22 March 2022","Fantastically fabulous",5,"",0,"Mirage Blue","6GB RAM","128GB Storage"
"R2NKLK5TIKAOL9","Laxman Patil","
  Blue, Ram/ROM- 8GB+256GBI bought this phone more than 1 week ago and today we received phone at doorstep, after using it for few hours only, I can say, I’m totally satisfied with my purchase. This one is a totally amazing flagship device.The charging on this one is blazing fast. I was skeptical of the 20-25 mins claim but after purchasing, I’m getting 30-35 mins full charge time and that is better than anything else available in the market right now.The 108mp primary camera is just amazing, it gets such nice pictures.There is dual 5g sim slot which supports upto 13 5G bands, so yes, this is going to be a solid future-proof device when it comes to connectivityYou can also record video in all formats which I think is not possible in the majority of smartphones available out there in the market.
","Reviewed in India on 22 March 2022","Superb and Amazing Device, Really Liking it",4,"","5","Mirage Blue","8GB RAM","256GB Storage"
"R8EU1B4N4RON3","Amazon Customer","
  Not worth for the price. Overpriced. Battery drain fast than expected.
","Reviewed in India on 22 March 2022","Overpriced product..not happy",1,"",0,,,
"R1T11E890PAPQ9","Ayan Modak","
  I just got the phone today. First problem I faced is slots can support either 2 SIM cards or 1 SIM card and 1 SD card. It is the biggestest drawback I feel.
","Reviewed in India on 23 March 2022","2 sim + SD card not possible",3,"",0,"Mirage Blue","8GB RAM","256GB Storage"
"R3RZ8QZ2LLJ5X6","Chelladurai","
  VERY WORST WIFI CONNECTION.
","Reviewed in India on 23 March 2022","WIFI SOFTWARE NOT WORKING",1,"","2","Phantom White","8GB RAM","128GB Storage"
"R3VV76XYVBAWJ9","Akhil","
  Ok ok no 4k
","Reviewed in India on 22 March 2022","Average product",3,"","5","Phantom White","8GB RAM","128GB Storage"
"R3BOBVZYXO9HQ","AmitDevdatta","
  Just received the phone yesterday, beautiful phone in design and display is just top notch along with the dual stereo speaker with dolby. Camera looks good though I haven't tested fully and videos will update later. Battery with 67w charger is superb. Go for it good phone.
","Reviewed in India on 23 March 2022","Value for Money",4,"https://m.media-amazon.com/images/I/61eHLUYfKFL.jpg","2","Mirage Blue","6GB RAM","128GB Storage"
"R2HACSP3RGGJIU","Venkatesh","
  They used pre installed google apps and google dialer this is worst dialer and sim ejecting tool missing in the box and package was fully damaged but mobile looks good and premium camera is ok but not good I think this is not 108mp like normal 48mp redmi camera.mobile quality is superI'm very disappointed in google dialer
","Reviewed in India on 22 March 2022","Google dialer",1,"","6","Stealth Black","8GB RAM","256GB Storage"
"R1LRHXP7990MMA","rajeswaran devarajan","
  Just got my phone delivered today as i was one of the first bookie on the launch day. First look experience was simply great. More reviews to be shared later once i start to use it regularly for some days. Cheers.
","Reviewed in India on 23 March 2022","Met my expectations",5,"",0,"Mirage Blue","8GB RAM","256GB Storage"
"R2R67E4KFZXVHN","Subhankar Pramanik","
  Camera is hang and when you capture photo on daylight display light get very LOW and camera app get slow. Wifi speed too worst. Very bad phone by redmi
","Reviewed in India on 22 March 2022","Camera is hang and light decrease on daylight. Wifi speed too worst. Very bad phone by redmi",1,"","10","Mirage Blue","6GB RAM","128GB Storage"
"RTAK3PAKYK0GE","rajashekar rasamalla","
  I've Small Doubt About This Mobile how it is going to be .But this looks amazing after unboxing. kinda of pretty much liked it.its worthy for the amount.Go for it
","Reviewed in India on 21 March 2022","Stylish, Slim and lightweight",5,"","7",,,
"R19ZRBJUG7158S","MUNNA","
  AWESOME PRODUCT ALL HAPPY
","Reviewed in India on 23 March 2022","All happy",5,"",1,"Mirage Blue","6GB RAM","128GB Storage"
"R3HEHI3ENC4G1U","Sumit Bajaj","
  Phone's look isFantastic.. Camera is not look like 108 but ok..sakfie camera average.. Charing is very fast.. Overall good performance after using 3 hours will update after 1 week
","Reviewed in India on 23 March 2022","Phone is fantastic.. Premium look .. Amazon delivery is very slow.. Received after 9 days",5,"",0,"Mirage Blue","6GB RAM","128GB Storage"
"R20BJFTWLP73L6","krish","
  Worst display
","Reviewed in India on 23 March 2022","Waste of money",2,"","2","Mirage Blue","6GB RAM","128GB Storage"
"R166Z5NWWSQFMV","T.D.Suresh babu","
  I got the defective product. Right bottom speaker is not working at all. Completely dead. Camera is not up to the mark. Display is good. Yet to check the performance. MIUI 13 user interface is not impressive. Need more updates. This is over rated phone for this price.
","Reviewed in India on 22 March 2022","Not best as shown",1,"","17","Stealth Black","8GB RAM","256GB Storage"
"R9BUGK0D7DNJR","Parth Patel","
  Would recommend to buy this phone, nice display, dashing look.
","Reviewed in India on 23 March 2022","Nice One !",5,"","2",,,
"R25ATIFA8NA79U","Shan","
   All rounder performance no heat no fast charge drain smooth gaming experience
","Reviewed in India on 23 March 2022","Fully satisfied mobile and Amazon service",5,"",1,"Stealth Black","6GB RAM","128GB Storage"
